From Location(Scorer),X Coordinate,Y Coordinate
Fairway,10844.13100000000000000000,9976.32800000000000000000
Fairway,10848.64800000000000000000,9954.80500000000000000000
Fairway,10837.28100000000000000000,9959.32200000000000000000
Fairway,10845.85700000000000000000,9985.00800000000000000000
Fairway,10862.26300000000000000000,9943.62800000000000000000
Fairway,10841.49200000000000000000,9948.91700000000000000000
Fairway,10872.59300000000000000000,9965.15800000000000000000
Fairway,10879.03800000000000000000,9956.22100000000000000000
Fairway,10860.97300000000000000000,9940.38100000000000000000
Fairway,10883.38600000000000000000,9946.24700000000000000000
Fairway,10830.89100000000000000000,9920.74500000000000000000
Fairway,10844.99500000000000000000,9938.88800000000000000000
Fairway,10866.59800000000000000000,9942.83600000000000000000
Fairway,10872.62900000000000000000,9935.05800000000000000000
Fairway,10869.54700000000000000000,9941.64400000000000000000
Fairway,10841.03400000000000000000,9924.87200000000000000000
Fairway,10885.12800000000000000000,9948.96200000000000000000
Fairway,10849.33000000000000000000,9936.15500000000000000000
Fairway,10804.85200000000000000000,9925.50900000000000000000
Fairway,10878.43200000000000000000,9936.30200000000000000000
Fairway,10854.92500000000000000000,9942.97800000000000000000
Fairway,10869.23800000000000000000,9945.28400000000000000000
Fairway,10842.71300000000000000000,9956.43800000000000000000
Fairway,10855.33000000000000000000,9943.73600000000000000000
Fairway,10862.56600000000000000000,9964.19000000000000000000
Fairway,10831.83000000000000000000,9947.24100000000000000000
Fairway,10873.59900000000000000000,9938.57100000000000000000
Fairway,10839.93600000000000000000,9925.65600000000000000000
Fairway,10795.30000000000000000000,9935.82000000000000000000
Fairway,10840.21200000000000000000,9975.98500000000000000000
Fairway,10848.52000000000000000000,9961.86500000000000000000
Fairway,10837.82800000000000000000,9984.42200000000000000000
Fairway,10835.69500000000000000000,9974.61100000000000000000
Fairway,10872.25900000000000000000,9961.07000000000000000000
Fairway,10887.50700000000000000000,9946.92000000000000000000
Fairway,10884.34400000000000000000,9943.83900000000000000000
Fairway,10862.17800000000000000000,9877.89100000000000000000
Fairway,10886.94900000000000000000,9935.27200000000000000000
Fairway,10856.30900000000000000000,9956.25700000000000000000
Fairway,10832.06100000000000000000,9923.84100000000000000000
Fairway,10868.13200000000000000000,9937.44700000000000000000
Fairway,10881.34000000000000000000,9930.18500000000000000000
Fairway,10837.53000000000000000000,9990.54700000000000000000
Fairway,10861.74200000000000000000,9959.94900000000000000000
Fairway,10832.82000000000000000000,9967.52800000000000000000
Fairway,10823.64600000000000000000,9977.17500000000000000000
Fairway,10845.73300000000000000000,9965.37000000000000000000
