Hole Number,Round,Total Distance,Actual Side,Trajectory Sequence,Trajectory X Coordinate,Trajectory Y Coordinate,Trajectory Z Coordinate,X Coordinate of Impact,Y Coordinate of Impact,Z Coordinate of Impact
5,1,10381,24.23200035095215000000,16,10429.65625000000000000000,12788.11328125000000000000,236.73199462890625000000,10752.65527343750000000000,12596.95996093750000000000,116.33799743652344000000
5,1,10381,24.23200035095215000000,17,10449.42968750000000000000,12777.75195312500000000000,238.13000488281250000000,10752.65527343750000000000,12596.95996093750000000000,116.33799743652344000000
5,1,10381,24.23200035095215000000,18,10468.48046875000000000000,12767.60253906250000000000,238.80900573730470000000,10752.65527343750000000000,12596.95996093750000000000,116.33799743652344000000
5,1,10381,24.23200035095215000000,19,10486.86035156250000000000,12757.65234375000000000000,238.77200317382812000000,10752.65527343750000000000,12596.95996093750000000000,116.33799743652344000000
5,1,10381,24.23200035095215000000,20,10504.61718750000000000000,12747.88574218750000000000,238.02200317382812000000,10752.65527343750000000000,12596.95996093750000000000,116.33799743652344000000
5,1,10381,24.23200035095215000000,21,10521.79296875000000000000,12738.29296875000000000000,236.56399536132812000000,10752.65527343750000000000,12596.95996093750000000000,116.33799743652344000000
5,1,10381,24.23200035095215000000,22,10538.43066406250000000000,12728.86230468750000000000,234.40400695800780000000,10752.65527343750000000000,12596.95996093750000000000,116.33799743652344000000
5,1,10381,24.23200035095215000000,23,10554.56738281250000000000,12719.58105468750000000000,231.55000305175780000000,10752.65527343750000000000,12596.95996093750000000000,116.33799743652344000000
5,1,10381,24.23200035095215000000,24,10570.23925781250000000000,12710.44335937500000000000,228.00900268554688000000,10752.65527343750000000000,12596.95996093750000000000,116.33799743652344000000
5,1,10381,24.23200035095215000000,25,10585.48046875000000000000,12701.43847656250000000000,223.78900146484375000000,10752.65527343750000000000,12596.95996093750000000000,116.33799743652344000000
5,1,10381,24.23200035095215000000,26,10600.32324218750000000000,12692.55859375000000000000,218.89900207519530000000,10752.65527343750000000000,12596.95996093750000000000,116.33799743652344000000
5,1,10381,24.23200035095215000000,27,10614.79980468750000000000,12683.79785156250000000000,213.34800720214844000000,10752.65527343750000000000,12596.95996093750000000000,116.33799743652344000000
5,1,10381,24.23200035095215000000,28,10628.94238281250000000000,12675.14843750000000000000,207.14399719238280000000,10752.65527343750000000000,12596.95996093750000000000,116.33799743652344000000
5,1,10381,24.23200035095215000000,29,10642.78125000000000000000,12666.60253906250000000000,200.29499816894530000000,10752.65527343750000000000,12596.95996093750000000000,116.33799743652344000000
5,1,10381,24.23200035095215000000,30,10656.34472656250000000000,12658.15625000000000000000,192.80999755859375000000,10752.65527343750000000000,12596.95996093750000000000,116.33799743652344000000
5,1,10381,24.23200035095215000000,31,10669.66406250000000000000,12649.79980468750000000000,184.69400024414062000000,10752.65527343750000000000,12596.95996093750000000000,116.33799743652344000000
5,1,10381,24.23200035095215000000,32,10682.76757812500000000000,12641.53027343750000000000,175.95599365234375000000,10752.65527343750000000000,12596.95996093750000000000,116.33799743652344000000
5,1,10381,24.23200035095215000000,33,10695.68261718750000000000,12633.33984375000000000000,166.59899902343750000000,10752.65527343750000000000,12596.95996093750000000000,116.33799743652344000000
5,1,10381,24.23200035095215000000,34,10708.43554687500000000000,12625.22167968750000000000,156.62899780273438000000,10752.65527343750000000000,12596.95996093750000000000,116.33799743652344000000
5,1,10381,24.23200035095215000000,35,10721.05175781250000000000,12617.17089843750000000000,146.04899597167970000000,10752.65527343750000000000,12596.95996093750000000000,116.33799743652344000000
5,1,10381,24.23200035095215000000,36,10733.55566406250000000000,12609.17871093750000000000,134.86000061035156000000,10752.65527343750000000000,12596.95996093750000000000,116.33799743652344000000
5,1,10381,24.23200035095215000000,37,10745.96777343750000000000,12601.23925781250000000000,123.06300354003906000000,10752.65527343750000000000,12596.95996093750000000000,116.33799743652344000000
5,1,10381,24.23200035095215000000,38,10758.30761718750000000000,12593.34375000000000000000,110.65599822998047000000,10752.65527343750000000000,12596.95996093750000000000,116.33799743652344000000
5,1,10381,24.23200035095215000000,39,10770.58886718750000000000,12585.48535156250000000000,97.63700103759766000000,10752.65527343750000000000,12596.95996093750000000000,116.33799743652344000000
5,1,10381,24.23200035095215000000,40,10782.82324218750000000000,12577.65332031250000000000,84.00099945068360000000,10752.65527343750000000000,12596.95996093750000000000,116.33799743652344000000
5,1,10381,24.23200035095215000000,41,10795.01660156250000000000,12569.83984375000000000000,69.74199676513672000000,10752.65527343750000000000,12596.95996093750000000000,116.33799743652344000000
5,1,10381,24.23200035095215000000,42,10807.17187500000000000000,12562.03515625000000000000,54.85200119018555000000,10752.65527343750000000000,12596.95996093750000000000,116.33799743652344000000
5,1,10381,24.23200035095215000000,43,10819.28125000000000000000,12554.22656250000000000000,39.31900024414062500000,10752.65527343750000000000,12596.95996093750000000000,116.33799743652344000000
5,1,10381,24.23200035095215000000,44,10819.88476562500000000000,12553.83593750000000000000,38.52500152587890600000,10752.65527343750000000000,12596.95996093750000000000,116.33799743652344000000
