Tournament Year,Permanent Tournament #,Event Name,Course Name,Round Number,Round Score
2017,464,Safeway Open,Silverado Resort and Spa North,2,71
2017,464,Safeway Open,Silverado Resort and Spa North,2,70
2017,464,Safeway Open,Silverado Resort and Spa North,2,75
2017,464,Safeway Open,Silverado Resort and Spa North,2,77
2017,464,Safeway Open,Silverado Resort and Spa North,2,67
2017,464,Safeway Open,Silverado Resort and Spa North,2,69
2017,464,Safeway Open,Silverado Resort and Spa North,2,71
2017,464,Safeway Open,Silverado Resort and Spa North,2,67
2017,464,Safeway Open,Silverado Resort and Spa North,2,69
2017,464,Safeway Open,Silverado Resort and Spa North,2,67
2017,464,Safeway Open,Silverado Resort and Spa North,2,72
2017,464,Safeway Open,Silverado Resort and Spa North,2,71
2017,464,Safeway Open,Silverado Resort and Spa North,2,69
2017,464,Safeway Open,Silverado Resort and Spa North,2,74
2017,464,Safeway Open,Silverado Resort and Spa North,2,71
2017,464,Safeway Open,Silverado Resort and Spa North,2,70
2017,464,Safeway Open,Silverado Resort and Spa North,2,77
2017,464,Safeway Open,Silverado Resort and Spa North,2,69
2017,464,Safeway Open,Silverado Resort and Spa North,2,67
2017,464,Safeway Open,Silverado Resort and Spa North,2,67
2017,464,Safeway Open,Silverado Resort and Spa North,2,69
2017,464,Safeway Open,Silverado Resort and Spa North,2,71
2017,464,Safeway Open,Silverado Resort and Spa North,2,70
2017,464,Safeway Open,Silverado Resort and Spa North,2,74
2017,464,Safeway Open,Silverado Resort and Spa North,2,68
2017,464,Safeway Open,Silverado Resort and Spa North,2,70
2017,464,Safeway Open,Silverado Resort and Spa North,2,69
2017,464,Safeway Open,Silverado Resort and Spa North,2,74
2017,464,Safeway Open,Silverado Resort and Spa North,2,69
2017,464,Safeway Open,Silverado Resort and Spa North,3,69
2017,464,Safeway Open,Silverado Resort and Spa North,3,71
2017,464,Safeway Open,Silverado Resort and Spa North,3,71
2017,464,Safeway Open,Silverado Resort and Spa North,3,72
2017,464,Safeway Open,Silverado Resort and Spa North,3,71
2017,464,Safeway Open,Silverado Resort and Spa North,3,72
2017,464,Safeway Open,Silverado Resort and Spa North,3,72
2017,464,Safeway Open,Silverado Resort and Spa North,3,74
2017,464,Safeway Open,Silverado Resort and Spa North,3,72
2017,464,Safeway Open,Silverado Resort and Spa North,3,71
2017,464,Safeway Open,Silverado Resort and Spa North,3,69
2017,464,Safeway Open,Silverado Resort and Spa North,3,72
2017,464,Safeway Open,Silverado Resort and Spa North,3,72
2017,464,Safeway Open,Silverado Resort and Spa North,3,72
2017,464,Safeway Open,Silverado Resort and Spa North,3,71
2017,464,Safeway Open,Silverado Resort and Spa North,3,71
2017,464,Safeway Open,Silverado Resort and Spa North,3,70
2017,464,Safeway Open,Silverado Resort and Spa North,3,73
2017,464,Safeway Open,Silverado Resort and Spa North,3,68
2017,464,Safeway Open,Silverado Resort and Spa North,3,70
2017,464,Safeway Open,Silverado Resort and Spa North,3,73
2017,464,Safeway Open,Silverado Resort and Spa North,3,71
2017,464,Safeway Open,Silverado Resort and Spa North,3,68
2017,464,Safeway Open,Silverado Resort and Spa North,3,71
2017,464,Safeway Open,Silverado Resort and Spa North,3,77
2017,464,Safeway Open,Silverado Resort and Spa North,3,70
2017,464,Safeway Open,Silverado Resort and Spa North,3,72
2017,464,Safeway Open,Silverado Resort and Spa North,3,70
2017,464,Safeway Open,Silverado Resort and Spa North,3,74
2017,464,Safeway Open,Silverado Resort and Spa North,3,67
2017,464,Safeway Open,Silverado Resort and Spa North,3,73
2017,464,Safeway Open,Silverado Resort and Spa North,3,71
2017,464,Safeway Open,Silverado Resort and Spa North,3,73
2017,464,Safeway Open,Silverado Resort and Spa North,3,71
2017,464,Safeway Open,Silverado Resort and Spa North,3,70
2017,464,Safeway Open,Silverado Resort and Spa North,3,74
2017,464,Safeway Open,Silverado Resort and Spa North,3,71
2017,464,Safeway Open,Silverado Resort and Spa North,3,70
2017,464,Safeway Open,Silverado Resort and Spa North,3,72
2017,464,Safeway Open,Silverado Resort and Spa North,3,74
2017,464,Safeway Open,Silverado Resort and Spa North,3,66
2017,464,Safeway Open,Silverado Resort and Spa North,3,71
2017,464,Safeway Open,Silverado Resort and Spa North,3,66
2017,464,Safeway Open,Silverado Resort and Spa North,3,69
2017,464,Safeway Open,Silverado Resort and Spa North,3,72
2017,464,Safeway Open,Silverado Resort and Spa North,3,69
2017,464,Safeway Open,Silverado Resort and Spa North,3,72
2017,464,Safeway Open,Silverado Resort and Spa North,3,71
2017,464,Safeway Open,Silverado Resort and Spa North,3,70
2017,464,Safeway Open,Silverado Resort and Spa North,3,75
2017,464,Safeway Open,Silverado Resort and Spa North,3,71
2017,464,Safeway Open,Silverado Resort and Spa North,3,70
2017,464,Safeway Open,Silverado Resort and Spa North,3,69
2017,464,Safeway Open,Silverado Resort and Spa North,3,70
2017,464,Safeway Open,Silverado Resort and Spa North,3,73
2017,464,Safeway Open,Silverado Resort and Spa North,3,76
2017,464,Safeway Open,Silverado Resort and Spa North,3,66
2017,464,Safeway Open,Silverado Resort and Spa North,3,75
2017,464,Safeway Open,Silverado Resort and Spa North,3,70
2017,464,Safeway Open,Silverado Resort and Spa North,3,65
2017,464,Safeway Open,Silverado Resort and Spa North,3,69
