To Location(Scorer),X Coordinate,Y Coordinate
Green,10951.03900000000000000000,8725.28900000000000000000
Green,10937.90200000000000000000,8756.81200000000000000000
Green,10932.21100000000000000000,8759.59800000000000000000
Green,10939.56900000000000000000,8754.45700000000000000000
Green,10954.50800000000000000000,8743.38800000000000000000
Green,10940.36800000000000000000,8754.54700000000000000000
Green,10950.49200000000000000000,8755.11300000000000000000
Green,10936.94800000000000000000,8755.11500000000000000000
Green,10972.16600000000000000000,8706.73600000000000000000
Green,10935.02500000000000000000,8755.29900000000000000000
Green,10939.12500000000000000000,8755.94600000000000000000
Green,10948.82000000000000000000,8713.35500000000000000000
Green,10940.64500000000000000000,8751.81500000000000000000
Green,10980.06800000000000000000,8753.63900000000000000000
Green,10942.01100000000000000000,8755.10100000000000000000
Green,10941.69800000000000000000,8711.16700000000000000000
Green,10940.01900000000000000000,8758.31100000000000000000
Green,10960.03200000000000000000,8713.88900000000000000000
Green,10939.81100000000000000000,8757.41800000000000000000
Green,10944.63000000000000000000,8756.43500000000000000000
Green,10948.20300000000000000000,8708.77500000000000000000
Green,10939.64000000000000000000,8757.62100000000000000000
Green,10940.00100000000000000000,8738.52600000000000000000
Green,10939.25300000000000000000,8756.92400000000000000000
Green,10941.48600000000000000000,8737.74500000000000000000
Green,10938.57300000000000000000,8756.18100000000000000000
Green,10927.64600000000000000000,8704.71200000000000000000
Green,10941.61000000000000000000,8762.48400000000000000000
Green,10938.32300000000000000000,8752.00900000000000000000
Green,10951.38900000000000000000,8751.45600000000000000000
Green,10936.85000000000000000000,8755.60000000000000000000
Green,10928.11700000000000000000,8755.75000000000000000000
Green,10939.70700000000000000000,8715.80900000000000000000
Green,10936.80300000000000000000,8753.82800000000000000000
Green,10965.50400000000000000000,8709.56300000000000000000
Green,10939.72800000000000000000,8753.02500000000000000000
Green,10941.45900000000000000000,8735.44900000000000000000
Green,10938.42500000000000000000,8755.90100000000000000000
Green,10958.37300000000000000000,8748.38300000000000000000
Green,10940.13900000000000000000,8754.97500000000000000000
Green,10950.94600000000000000000,8724.84300000000000000000
Green,10938.27600000000000000000,8754.34000000000000000000
Green,10947.69400000000000000000,8708.41500000000000000000
Green,10937.77600000000000000000,8756.68700000000000000000
Green,10968.52800000000000000000,8766.01800000000000000000
Green,10938.46900000000000000000,8753.86600000000000000000
Green,10941.00900000000000000000,8765.15700000000000000000
Green,10938.15400000000000000000,8753.83400000000000000000
Green,10963.60100000000000000000,8696.02400000000000000000
Green,10940.91000000000000000000,8747.53900000000000000000
Green,10934.13700000000000000000,8751.86800000000000000000
Green,10937.10400000000000000000,8699.98700000000000000000
Green,10935.60300000000000000000,8766.45200000000000000000
Green,10978.20100000000000000000,8759.46800000000000000000
Green,10931.82100000000000000000,8756.75800000000000000000
Green,10946.45200000000000000000,8749.53900000000000000000
Green,10955.50500000000000000000,8755.41700000000000000000
Green,10939.93400000000000000000,8755.55200000000000000000
Green,10939.81600000000000000000,8752.17000000000000000000
Green,10961.07900000000000000000,8736.47000000000000000000
Green,10941.87800000000000000000,8753.84200000000000000000
Green,10922.90500000000000000000,8738.36700000000000000000
Green,10939.01300000000000000000,8753.77600000000000000000
Green,10931.28600000000000000000,8764.90400000000000000000
Green,10938.22500000000000000000,8755.61700000000000000000
Green,10926.44600000000000000000,8756.10800000000000000000
Green,10941.15700000000000000000,8755.70300000000000000000
Green,10945.83400000000000000000,8731.85600000000000000000
Green,10936.03500000000000000000,8760.60000000000000000000
Green,10946.86700000000000000000,8706.26600000000000000000
Green,10939.54400000000000000000,8762.63100000000000000000
Green,10952.65700000000000000000,8745.51400000000000000000
Green,10957.98000000000000000000,8704.86300000000000000000
Green,10956.44100000000000000000,8700.89600000000000000000
Green,10926.01400000000000000000,8740.72200000000000000000
Green,10961.52900000000000000000,8705.56800000000000000000
Green,10951.75100000000000000000,8708.93100000000000000000
Green,10961.17000000000000000000,8703.51000000000000000000
Green,10955.78300000000000000000,8716.42800000000000000000
Green,10961.40600000000000000000,8704.64500000000000000000
Green,10952.03000000000000000000,8719.20200000000000000000
Green,10960.63200000000000000000,8703.09900000000000000000
Green,10952.91600000000000000000,8739.41700000000000000000
Green,10960.54000000000000000000,8704.27200000000000000000
Green,10965.28600000000000000000,8707.00200000000000000000
Green,10965.32000000000000000000,8706.68500000000000000000
Green,10959.57800000000000000000,8705.07600000000000000000
Green,10948.60300000000000000000,8732.59200000000000000000
Green,10962.27000000000000000000,8704.62300000000000000000
Green,10943.85000000000000000000,8725.19100000000000000000
Green,10960.48300000000000000000,8701.43200000000000000000
Green,10950.56500000000000000000,8713.62600000000000000000
Green,10962.94200000000000000000,8702.01600000000000000000
Green,10941.06800000000000000000,8707.44300000000000000000
