Round,Hole Number,Trajectory Sequence,X Coordinate of Impact,Y Coordinate of Impact,Z Coordinate of Impact,Trajectory X Coordinate,Trajectory Y Coordinate,Trajectory Z Coordinate
3,5,32,10757.16796875000000000000,12607.95214843750000000000,116.84899902343750000000,10679.91113281250000000000,12650.34375000000000000000,183.79200744628906000000
3,5,33,10757.16796875000000000000,12607.95214843750000000000,116.84899902343750000000,10693.54492187500000000000,12642.87402343750000000000,173.91700744628906000000
3,5,34,10757.16796875000000000000,12607.95214843750000000000,116.84899902343750000000,10707.02832031250000000000,12635.47265625000000000000,163.34100341796875000000
3,5,35,10757.16796875000000000000,12607.95214843750000000000,116.84899902343750000000,10720.38281250000000000000,12628.13671875000000000000,152.06900024414062000000
3,5,36,10757.16796875000000000000,12607.95214843750000000000,116.84899902343750000000,10733.63085937500000000000,12620.86132812500000000000,140.10000610351562000000
3,5,37,10757.16796875000000000000,12607.95214843750000000000,116.84899902343750000000,10746.79199218750000000000,12613.63964843750000000000,127.43800354003906000000
3,5,38,10757.16796875000000000000,12607.95214843750000000000,116.84899902343750000000,10759.88085937500000000000,12606.46582031250000000000,114.08200073242188000000
3,5,39,10757.16796875000000000000,12607.95214843750000000000,116.84899902343750000000,10772.91503906250000000000,12599.33496093750000000000,100.03399658203125000000
3,5,40,10757.16796875000000000000,12607.95214843750000000000,116.84899902343750000000,10785.90722656250000000000,12592.23632812500000000000,85.29299926757812000000
3,5,41,10757.16796875000000000000,12607.95214843750000000000,116.84899902343750000000,10798.86425781250000000000,12585.16308593750000000000,69.85700225830078000000
3,5,42,10757.16796875000000000000,12607.95214843750000000000,116.84899902343750000000,10811.79296875000000000000,12578.10253906250000000000,53.72600173950195000000
3,5,43,10757.16796875000000000000,12607.95214843750000000000,116.84899902343750000000,10824.04980468750000000000,12571.40039062500000000000,37.75500106811523400000
